num,name,filename,sha256,length,train_end_raw,begin_raw,end_raw,start0,stop0,train_stop0,index_convention,anom_len,variant,is_distorted,is_noise,domain_goswami,is_medical,domain_official,domain_official_basis,domain_agree,source_official,deck_slides,in_tsbad,tsbad_filename,tsbad_domain,match_method,tsbad_label_n_segments,tsbad_label_start0,tsbad_label_stop0,gt_agree,audit_flags
1,DISTORTED1sddb40,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,e064e98e0b41d117f666945459671d3eec014ff9ac2457401befd8a244b9b93f,79795,35000,52000,52620,51999,52620,35000,matlab_1based_inclusive,621,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record sddb/40 , annotator atr , from [03:27:00.000 1] to [04:27:00.000 1] | Sudden Cardiac Death Holter Database (sddb)",28,NA,NA,NA,NA,NA,NA,NA,NA,none
2,DISTORTED2sddb40,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,1c730e485f186aa39859ac0fca707a7977860b8db49112489270990b7f240e84,80001,35000,56600,56900,56599,56900,35000,matlab_1based_inclusive,301,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record sddb/40 , annotator atr , from [03:27:00.000 1] to [04:27:00.000 1] | Sudden Cardiac Death Holter Database (sddb)",29,NA,NA,NA,NA,NA,NA,NA,NA,none
3,DISTORTED3sddb40,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,557cbf5463ea3fc9cc1d17be60157c737de7a01810bc4907ab252e746eb6a7ae,80000,35000,46600,46900,46599,46900,35000,matlab_1based_inclusive,301,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record sddb/40 , annotator atr , from [03:27:00.000 1] to [04:27:00.000 1] | Sudden Cardiac Death Holter Database (sddb)",30,NA,NA,NA,NA,NA,NA,NA,NA,none
4,DISTORTEDBIDMC1,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,f76d4cbc56328179183f3ce69a92f5a22389135a786d8f0bb1662bcfc748ede6,11000,2500,5400,5600,5399,5600,2500,matlab_1based_inclusive,201,DISTORTED,True,False,ECG,True,PPG (bidmc),source_line,False,"Selected input: record bidmc/bidmc01 , annotator ann1 , from 0:00.000 to 1:00.000",55,NA,NA,NA,NA,NA,NA,NA,NA,DOMAIN_DISAGREE
5,DISTORTEDCIMIS44AirTemperature1,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,076a847fcefaf023942db0324186aa976407c43a8d699beaee8b77527bb5ceae,8184,4000,5391,5392,5390,5392,4000,matlab_1based_inclusive,2,DISTORTED,True,False,Air Temperature,False,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_IN_DECK;DOMAIN_OFFICIAL_NA
6,DISTORTEDCIMIS44AirTemperature2,006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,7a3689efacf6003dbaada4be6c2423d83f008409da4f1e3e4388705e6117f98a,8184,4000,5703,5727,5702,5727,4000,matlab_1based_inclusive,25,DISTORTED,True,False,Air Temperature,False,Air Temperature,source_line,True,The data comes from the public weather data report from CIMIS station 44 in Riverside [1].,95,NA,NA,NA,NA,NA,NA,NA,NA,none
7,DISTORTEDCIMIS44AirTemperature3,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,d63280ad6baffbe055edaa756aa43feff093ed517e0fa5017c312d6cac4c4792,8184,4000,6520,6544,6519,6544,4000,matlab_1based_inclusive,25,DISTORTED,True,False,Air Temperature,False,Air Temperature,source_line,True,The data comes from the public weather data report from CIMIS station 44 in Riverside [1].,96,NA,NA,NA,NA,NA,NA,NA,NA,none
8,DISTORTEDCIMIS44AirTemperature4,008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt,564e885f1910b19e2d762f369a669ce0097b6ce1706da337a3315333f27ec9f7,8184,4000,5549,5597,5548,5597,4000,matlab_1based_inclusive,49,DISTORTED,True,False,Air Temperature,False,Air Temperature,source_line,True,The data comes from the public weather data report from CIMIS station 44 in Riverside [1].,97,NA,NA,NA,NA,NA,NA,NA,NA,DECK_FIELDS_DIFFER
9,DISTORTEDCIMIS44AirTemperature5,009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,5450cae11e0b3a7c9f536f24c943db5e3bac3223e30cfe0288497ad0294a4c52,8184,4000,4852,4900,4851,4900,4000,matlab_1based_inclusive,49,DISTORTED,True,False,Air Temperature,False,Air Temperature,source_line,True,The data comes from the public weather data report from CIMIS station 44 in Riverside [1].,98,NA,NA,NA,NA,NA,NA,NA,NA,none
10,DISTORTEDCIMIS44AirTemperature6,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt,76a00b51e39993cb325ca7a933a1895add9c774cd1b17d819d1b5cb99cf74423,8184,4000,6006,6054,6005,6054,4000,matlab_1based_inclusive,49,DISTORTED,True,False,Air Temperature,False,Air Temperature,source_line,True,The data comes from the public weather data report from CIMIS station 44 in Riverside [1].,99,NA,NA,NA,NA,NA,NA,NA,NA,none
11,DISTORTEDECG1,011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100.txt,9f0cccecd43376f0347d5c2df6648f3be3f33a5be955d4af66fb670c02e39afd,30000,10000,11800,12100,11799,12100,10000,matlab_1based_inclusive,301,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n04 , annotator qrs , from 8:10.000 to 8:20.000 | PAF Prediction Challenge Database (afpdb)",35,NA,NA,NA,NA,NA,NA,NA,NA,none
12,DISTORTEDECG2,012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.txt,918236c9ecd8e65f0e61df7209c5874b811657177de2ea982ef98c6f3ac6172f,30000,15000,16000,16100,15999,16100,15000,matlab_1based_inclusive,101,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n04 , annotator qrs , from 8:10.000 to 8:20.000 | PAF Prediction Challenge Database (afpdb)",36,NA,NA,NA,NA,NA,NA,NA,NA,none
13,DISTORTEDECG3,013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,d34aeecf64127212a6a7290c02d675de48c05ad83e783ba4e0a52b571ad71128,30000,15000,16000,16100,15999,16100,15000,matlab_1based_inclusive,101,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n20 , annotator qrs , from 9:50.000 to 30:00.000 | PAF Prediction Challenge Database (afpdb)",37,NA,NA,NA,NA,NA,NA,NA,NA,DECK_FIELDS_DIFFER
14,DISTORTEDECG3,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,cf49ee0039979e7526988fcf2abc9db20bcc96b9dd3f3ee311881640fe989e94,30000,8000,17000,17100,16999,17100,8000,matlab_1based_inclusive,101,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n20 , annotator qrs , from 9:50.000 to 30:00.000 | PAF Prediction Challenge Database (afpdb)",37,NA,NA,NA,NA,NA,NA,NA,NA,none
15,DISTORTEDECG4,015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100.txt,f8338392db031531633a1b636a948199cfa710a093a6191eabbe56e5a793370c,200000,5000,16800,17100,16799,17100,5000,matlab_1based_inclusive,301,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n20 , annotator qrs , from 9:50.000 to 30:00.000 | PAF Prediction Challenge Database (afpdb)",38;100,NA,NA,NA,NA,NA,NA,NA,NA,none
16,DISTORTEDECG4,016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100.txt,de679b477e6ca1db24972ad3b3e66bfa2812ea7f41bca4b29d663e639763d253,30000,5000,16900,17100,16899,17100,5000,matlab_1based_inclusive,201,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n20 , annotator qrs , from 9:50.000 to 30:00.000 | PAF Prediction Challenge Database (afpdb)",38;100,NA,NA,NA,NA,NA,NA,NA,NA,DECK_FIELDS_DIFFER
17,DISTORTEDECG4,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100.txt,4cdef36a92a9f3f7d5c94de3e31f8fbdd49fd671c8ea4f3f8e53ce5b6c209a82,30000,5000,17000,17100,16999,17100,5000,matlab_1based_inclusive,101,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n20 , annotator qrs , from 9:50.000 to 30:00.000 | PAF Prediction Challenge Database (afpdb)",38;100,NA,NA,NA,NA,NA,NA,NA,NA,none
18,DISTORTEDECG4,018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100.txt,ee6e4b0d7d6ccd355614825c7480836dbed05943ba60e5fb0f768d60e9337cd7,30000,8000,17000,17100,16999,17100,8000,matlab_1based_inclusive,101,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record afpdb/n20 , annotator qrs , from 9:50.000 to 30:00.000 | PAF Prediction Challenge Database (afpdb)",38;100,NA,NA,NA,NA,NA,NA,NA,NA,DECK_FIELDS_DIFFER
19,DISTORTEDGP711MarkerLFM5z1,019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,d5ef58edd75915cd1cfb88368905186281e25eb7587e2c5cd28a44f4a3e2fb8f,12000,5000,6168,6212,6167,6212,5000,matlab_1based_inclusive,45,DISTORTED,True,False,Gait,False,Gait,source_line,True,The data comes from subject 7 in the GaitPhase Database [1]. The subject was required to walk,90,NA,NA,NA,NA,NA,NA,NA,NA,none
20,DISTORTEDGP711MarkerLFM5z2,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,8a1e8225a1f6251425782a1bce150db1cb4d2c55431278f73465538166c7a6db,12000,5000,7175,7388,7174,7388,5000,matlab_1based_inclusive,214,DISTORTED,True,False,Gait,False,Gait,source_line,True,The data comes from subject 7 in the GaitPhase Database [1]. The subject was required to walk,91,NA,NA,NA,NA,NA,NA,NA,NA,DECK_FIELDS_DIFFER
21,DISTORTEDGP711MarkerLFM5z3,021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,f777776c072630c3b7970e684392ed0d5121fb9d2bb0277934f1440ae6c973ac,12000,5000,5948,5993,5947,5993,5000,matlab_1based_inclusive,46,DISTORTED,True,False,Gait,False,Gait,source_line,True,The data comes from subject 7 in the GaitPhase Database [1]. The subject was required to walk,92,NA,NA,NA,NA,NA,NA,NA,NA,DECK_FIELDS_DIFFER
22,DISTORTEDGP711MarkerLFM5z4,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.txt,e8c3474887d6e892b6872b105658424d50befbbf0b4f5255670a39094e901ad7,12000,4000,6527,6645,6526,6645,4000,matlab_1based_inclusive,119,DISTORTED,True,False,Gait,False,Gait,source_line,True,The data comes from subject 7 in the GaitPhase Database [1]. The subject was required to walk,93,NA,NA,NA,NA,NA,NA,NA,NA,DECK_FIELDS_DIFFER
23,DISTORTEDGP711MarkerLFM5z5,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt,61ade6be0922f071980b97adce4a31a50260562303fa9012fd03c9a9d06db00d,12000,5000,8612,8716,8611,8716,5000,matlab_1based_inclusive,105,DISTORTED,True,False,Gait,False,Gait,source_line,True,The data comes from subject 7 in the GaitPhase Database [1]. The subject was required to walk,94,NA,NA,NA,NA,NA,NA,NA,NA,none
24,DISTORTEDInternalBleeding10,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,c9dd6e2d6f05791f47a1d7798e33fd48861561d7e1bf3eaa592f8b7a5f5685a7,7501,3200,4526,4556,4525,4556,3200,matlab_1based_inclusive,31,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",86,NA,NA,NA,NA,NA,NA,NA,NA,none
25,DISTORTEDInternalBleeding14,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,8e0dc61a006bc5917166d69dbc84e6a5b575fdaa490d7fed79f62138adf6f644,7501,2800,5607,5634,5606,5634,2800,matlab_1based_inclusive,28,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",87,NA,NA,NA,NA,NA,NA,NA,NA,none
26,DISTORTEDInternalBleeding15,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,4d1cf1a9307630613e8da2adef8d91fe0ad4d2a8c23469ecc49d6bf97baea9ee,7601,1700,5684,5854,5683,5854,1700,matlab_1based_inclusive,171,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",82,NA,NA,NA,NA,NA,NA,NA,NA,none
27,DISTORTEDInternalBleeding16,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,8245646efd247a8a6a938de02df5067f546cc06573897c20eaaa9710d8dc8d13,7501,1200,4187,4199,4186,4199,1200,matlab_1based_inclusive,13,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",70,NA,NA,NA,NA,NA,NA,NA,NA,none
28,DISTORTEDInternalBleeding17,028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309.txt,9857e5486d03e7f5a70153473682cd005f80ac7af155ed58190b75431860533b,7500,1600,3198,3309,3197,3309,1600,matlab_1based_inclusive,112,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",71,NA,NA,NA,NA,NA,NA,NA,NA,none
29,DISTORTEDInternalBleeding18,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.txt,99b6a580cfea028d6405bc775f581ee6cb097a1af2ec13b254f5effd62f7fd28,7500,2300,4485,4587,4484,4587,2300,matlab_1based_inclusive,103,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",72,NA,NA,NA,NA,NA,NA,NA,NA,none
30,DISTORTEDInternalBleeding19,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt,3f034620d2c0b4089b6825e38609acad71fb8ea1c6e8635e53b8f5eb993e11ad,7500,3000,4187,4197,4186,4197,3000,matlab_1based_inclusive,11,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",73,NA,NA,NA,NA,NA,NA,NA,NA,none
