num_a,num_b,name_a,name_b,same_name_group,domain,length_a,length_b,train_end_a,train_end_b,n_compared,corr,same_recording
1,93,DISTORTED1sddb40,NOISE1sddb40,True,ECG,79795,79795,35000,35000,5000,0.987899,True
1,109,DISTORTED1sddb40,1sddb40,True,ECG,79795,79795,35000,35000,5000,0.993044,True
93,109,NOISE1sddb40,1sddb40,True,ECG,79795,79795,35000,35000,5000,0.994738,True
2,110,DISTORTED2sddb40,2sddb40,True,ECG,80001,80001,35000,35000,5000,0.989588,True
3,111,DISTORTED3sddb40,3sddb40,True,ECG,80000,80000,35000,35000,5000,0.988483,True
4,94,DISTORTEDBIDMC1,NOISEBIDMC1,True,ECG,11000,11000,2500,2500,2500,0.984610,True
4,112,DISTORTEDBIDMC1,BIDMC1,True,ECG,11000,11000,2500,2500,2500,0.989903,True
94,112,NOISEBIDMC1,BIDMC1,True,ECG,11000,11000,2500,2500,2500,0.994892,True
5,113,DISTORTEDCIMIS44AirTemperature1,CIMIS44AirTemperature1,True,Air Temperature,8184,8184,4000,4000,4000,0.991036,True
6,114,DISTORTEDCIMIS44AirTemperature2,CIMIS44AirTemperature2,True,Air Temperature,8184,8184,4000,4000,4000,0.991938,True
7,115,DISTORTEDCIMIS44AirTemperature3,CIMIS44AirTemperature3,True,Air Temperature,8184,8184,4000,4000,4000,0.990614,True
8,95,DISTORTEDCIMIS44AirTemperature4,NOISECIMIS44AirTemperature4,True,Air Temperature,8184,8184,4000,4000,4000,0.983732,True
8,116,DISTORTEDCIMIS44AirTemperature4,CIMIS44AirTemperature4,True,Air Temperature,8184,8184,4000,4000,4000,0.988279,True
95,116,NOISECIMIS44AirTemperature4,CIMIS44AirTemperature4,True,Air Temperature,8184,8184,4000,4000,4000,0.994874,True
9,117,DISTORTEDCIMIS44AirTemperature5,CIMIS44AirTemperature5,True,Air Temperature,8184,8184,4000,4000,4000,0.989482,True
10,118,DISTORTEDCIMIS44AirTemperature6,CIMIS44AirTemperature6,True,Air Temperature,8184,8184,4000,4000,4000,0.988726,True
11,119,DISTORTEDECG1,ECG1,True,ECG,30000,30000,10000,10000,5000,0.987393,True
12,120,DISTORTEDECG2,ECG2,True,ECG,30000,30000,15000,15000,5000,0.988173,True
13,14,DISTORTEDECG3,DISTORTEDECG3,True,ECG,30000,30000,15000,8000,5000,0.979499,True
13,121,DISTORTEDECG3,ECG3,True,ECG,30000,30000,15000,15000,5000,0.989711,True
13,122,DISTORTEDECG3,ECG3,True,ECG,30000,30000,15000,8000,5000,0.989711,True
14,121,DISTORTEDECG3,ECG3,True,ECG,30000,30000,8000,15000,5000,0.991036,True
14,122,DISTORTEDECG3,ECG3,True,ECG,30000,30000,8000,8000,5000,0.991036,True
121,122,ECG3,ECG3,True,ECG,30000,30000,15000,8000,5000,1.000000,True
15,16,DISTORTEDECG4,DISTORTEDECG4,True,ECG,200000,30000,5000,5000,5000,0.006548,False
15,17,DISTORTEDECG4,DISTORTEDECG4,True,ECG,200000,30000,5000,5000,5000,-0.038866,False
15,18,DISTORTEDECG4,DISTORTEDECG4,True,ECG,200000,30000,5000,8000,5000,-0.018690,False
15,96,DISTORTEDECG4,NOISEECG4,True,ECG,200000,30000,5000,5000,5000,-0.018702,False
15,123,DISTORTEDECG4,ECG4,True,ECG,200000,200000,5000,5000,5000,0.988236,True
15,124,DISTORTEDECG4,ECG4,True,ECG,200000,30000,5000,5000,5000,-0.018553,False
15,125,DISTORTEDECG4,ECG4,True,ECG,200000,30000,5000,5000,5000,-0.018553,False
15,126,DISTORTEDECG4,ECG4,True,ECG,200000,30000,5000,8000,5000,-0.018553,False
16,17,DISTORTEDECG4,DISTORTEDECG4,True,ECG,30000,30000,5000,5000,5000,0.980603,True
16,18,DISTORTEDECG4,DISTORTEDECG4,True,ECG,30000,30000,5000,8000,5000,0.979470,True
16,96,DISTORTEDECG4,NOISEECG4,True,ECG,30000,30000,5000,5000,5000,0.984943,True
16,123,DISTORTEDECG4,ECG4,True,ECG,30000,200000,5000,5000,5000,0.009005,False
16,124,DISTORTEDECG4,ECG4,True,ECG,30000,30000,5000,5000,5000,0.990085,True
16,125,DISTORTEDECG4,ECG4,True,ECG,30000,30000,5000,5000,5000,0.990085,True
16,126,DISTORTEDECG4,ECG4,True,ECG,30000,30000,5000,8000,5000,0.990085,True
17,18,DISTORTEDECG4,DISTORTEDECG4,True,ECG,30000,30000,5000,8000,5000,0.980323,True
17,96,DISTORTEDECG4,NOISEECG4,True,ECG,30000,30000,5000,5000,5000,0.985204,True
17,123,DISTORTEDECG4,ECG4,True,ECG,30000,200000,5000,5000,5000,-0.039415,False
17,124,DISTORTEDECG4,ECG4,True,ECG,30000,30000,5000,5000,5000,0.989932,True
17,125,DISTORTEDECG4,ECG4,True,ECG,30000,30000,5000,5000,5000,0.989932,True
17,126,DISTORTEDECG4,ECG4,True,ECG,30000,30000,5000,8000,5000,0.989932,True
18,96,DISTORTEDECG4,NOISEECG4,True,ECG,30000,30000,8000,5000,5000,0.984797,True
18,123,DISTORTEDECG4,ECG4,True,ECG,30000,200000,8000,5000,5000,-0.017828,False
18,124,DISTORTEDECG4,ECG4,True,ECG,30000,30000,8000,5000,5000,0.989540,True
18,125,DISTORTEDECG4,ECG4,True,ECG,30000,30000,8000,5000,5000,0.989540,True
18,126,DISTORTEDECG4,ECG4,True,ECG,30000,30000,8000,8000,5000,0.989540,True
96,123,NOISEECG4,ECG4,True,ECG,30000,200000,5000,5000,5000,-0.018955,False
96,124,NOISEECG4,ECG4,True,ECG,30000,30000,5000,5000,5000,0.995187,True
96,125,NOISEECG4,ECG4,True,ECG,30000,30000,5000,5000,5000,0.995187,True
96,126,NOISEECG4,ECG4,True,ECG,30000,30000,5000,8000,5000,0.995187,True
123,124,ECG4,ECG4,True,ECG,200000,30000,5000,5000,5000,-0.018644,False
123,125,ECG4,ECG4,True,ECG,200000,30000,5000,5000,5000,-0.018644,False
123,126,ECG4,ECG4,True,ECG,200000,30000,5000,8000,5000,-0.018644,False
124,125,ECG4,ECG4,True,ECG,30000,30000,5000,5000,5000,1.000000,True
124,126,ECG4,ECG4,True,ECG,30000,30000,5000,8000,5000,1.000000,True
125,126,ECG4,ECG4,True,ECG,30000,30000,5000,8000,5000,1.000000,True
19,127,DISTORTEDGP711MarkerLFM5z1,GP711MarkerLFM5z1,True,Gait,12000,12000,5000,5000,5000,0.991467,True
20,128,DISTORTEDGP711MarkerLFM5z2,GP711MarkerLFM5z2,True,Gait,12000,12000,5000,5000,5000,0.991397,True
21,97,DISTORTEDGP711MarkerLFM5z3,NOISEGP711MarkerLFM5z3,True,Gait,12000,12000,5000,5000,5000,0.985093,True
21,129,DISTORTEDGP711MarkerLFM5z3,GP711MarkerLFM5z3,True,Gait,12000,12000,5000,5000,5000,0.989610,True
97,129,NOISEGP711MarkerLFM5z3,GP711MarkerLFM5z3,True,Gait,12000,12000,5000,5000,5000,0.995163,True
22,130,DISTORTEDGP711MarkerLFM5z4,GP711MarkerLFM5z4,True,Gait,12000,12000,4000,4000,4000,0.990249,True
23,131,DISTORTEDGP711MarkerLFM5z5,GP711MarkerLFM5z5,True,Gait,12000,12000,5000,5000,5000,0.988760,True
24,132,DISTORTEDInternalBleeding10,InternalBleeding10,True,ABP,7501,7501,3200,3200,3200,0.991255,True
