num,name,variant,domain_goswami,is_medical,content_group,name_group,detector,fit_on,max_features,seed,n_fit,window,n_estimators,mode,n,train_end,start0,stop0,max_anom,thr_b0,thr_bw,n_normal_b0,n_normal_bw,p1_b0,p1_bw,argmax0,p2_archive,p2_brief,max_support,p1_support_bw,train_max,train_p99,train_selfmatch_max,n_selfmatch,n_const_train,fit_s,score_s,score_file
1,DISTORTED1sddb40,DISTORTED,ECG,True,cg001,1sddb40,MatrixProfile,full,NA,0,79795,208,NA,self_join,79795,35000,51999,52620,12.086965497239735,4.45616173452509,4.400194872801993,44174,43758,True,True,52459,True,True,12.086965497239735,True,6.014829426827769,4.289510132422713,6.014829426827769,34793,0,0.0001,20.5015,results/gate1/MatrixProfile/scores/001_full_self_join_seed0.npy
1,DISTORTED1sddb40,DISTORTED,ECG,True,cg001,1sddb40,MatrixProfile,train_prefix,NA,0,35000,208,NA,ab_join,79795,35000,51999,52620,12.872626071825785,5.030678211734032,4.997682304977514,44174,43758,True,True,52430,True,True,12.872626071825785,True,4.109479046250486,1.457574279384313e-06,2.5609196494747204e-06,34793,0,2.1531,49.3078,results/gate1/MatrixProfile/scores/001_train_prefix_ab_join_seed0.npy
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,MatrixProfile,full,NA,0,80001,208,NA,self_join,80001,35000,56599,56900,15.395968104752429,4.474332170973623,4.3775765856217745,44700,44284,True,True,56701,True,True,15.395968104752429,True,6.168921846747819,4.59528396890636,6.168921846747819,34793,0,0.0,21.1152,results/gate1/MatrixProfile/scores/002_full_self_join_seed0.npy
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,MatrixProfile,train_prefix,NA,0,35000,208,NA,ab_join,80001,35000,56599,56900,15.395968104752429,5.1252004051792195,5.038689854847229,44700,44284,True,True,56701,True,True,15.395968104752429,True,3.495777960682893,9.848303581391754e-07,1.8735210472943439e-06,34793,0,2.1341,48.9594,results/gate1/MatrixProfile/scores/002_train_prefix_ab_join_seed0.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,MatrixProfile,full,NA,0,80000,208,NA,self_join,80000,35000,46599,46900,5.540898180472314,4.684264382501529,4.688208398974778,44699,44283,True,True,67207,False,False,5.540898180472314,True,6.451822383321874,4.362738013918973,6.451822383321874,34793,0,0.0009,21.018,results/gate1/MatrixProfile/scores/003_full_self_join_seed0.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,MatrixProfile,train_prefix,NA,0,35000,208,NA,ab_join,80000,35000,46599,46900,5.540898180472314,5.151952601685812,5.155775621696989,44699,44283,True,True,67254,False,False,5.540898180472314,True,3.392666000202491,3.5960920164581195e-06,5.986633076424465e-06,34793,0,2.1144,49.4216,results/gate1/MatrixProfile/scores/003_train_prefix_ab_join_seed0.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,MatrixProfile,full,NA,0,11000,81,NA,self_join,11000,2500,5399,5600,7.525279305078353,0.9640524267825042,0.9624297741864639,8299,8137,True,True,5541,True,True,7.525279305078353,True,5.384213070756364,3.884993458174471,5.384213070756364,2420,0,0.0001,0.8829,results/gate1/MatrixProfile/scores/004_full_self_join_seed0.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,MatrixProfile,train_prefix,NA,0,2500,81,NA,ab_join,11000,2500,5399,5600,8.861083418104407,1.3608444195922347,1.3533290083792797,8299,8137,True,True,5541,True,True,8.861083418104407,True,0.8668734266910414,0.7299296865156747,5.017953586722236e-07,2420,0,2.1358,40.0045,results/gate1/MatrixProfile/scores/004_train_prefix_ab_join_seed0.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,MatrixProfile,full,NA,0,8184,24,NA,self_join,8184,4000,5390,5392,2.308255798507062,2.2586960645490084,2.1237395485268658,4182,4134,True,True,7207,False,False,2.308255798507062,True,4.467898605516394,2.3087918778708003,4.467898605516394,3977,0,0.0,0.4844,results/gate1/MatrixProfile/scores/005_full_self_join_seed0.npy
5,DISTORTEDCIMIS44AirTemperature1,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature1,MatrixProfile,train_prefix,NA,0,4000,24,NA,ab_join,8184,4000,5390,5392,2.308255798507062,2.3676253382818895,2.3206338043997468,4182,4134,False,False,7208,False,False,2.308255798507062,False,0.9787102278157588,6.405766385854684e-07,9.461944023601737e-07,3977,0,0.0,0.2295,results/gate1/MatrixProfile/scores/005_train_prefix_ab_join_seed0.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,MatrixProfile,full,NA,0,8184,24,NA,self_join,8184,4000,5702,5727,2.6496709999245183,2.124642974282358,2.1348026924627925,4159,4111,True,True,7206,False,False,2.6496709999245183,True,3.8115038316402163,2.3196369141639175,3.8115038316402163,3977,0,0.0,0.3932,results/gate1/MatrixProfile/scores/006_full_self_join_seed0.npy
6,DISTORTEDCIMIS44AirTemperature2,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature2,MatrixProfile,train_prefix,NA,0,4000,24,NA,ab_join,8184,4000,5702,5727,2.6496709999245183,2.3231477804635805,2.3280329395068944,4159,4111,True,True,7207,False,False,2.6496709999245183,True,1.135285236985564,1.197319176811554e-06,1.3696104637475082e-06,3977,0,0.0001,0.5029,results/gate1/MatrixProfile/scores/006_train_prefix_ab_join_seed0.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,MatrixProfile,full,NA,0,8184,24,NA,self_join,8184,4000,6519,6544,3.6675759679807283,2.2967372993953594,2.0741834601604694,4159,4111,True,True,6520,True,True,3.6675759679807283,True,3.258231951848525,2.306260541849487,3.258231951848525,3977,0,0.0,0.5142,results/gate1/MatrixProfile/scores/007_full_self_join_seed0.npy
7,DISTORTEDCIMIS44AirTemperature3,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature3,MatrixProfile,train_prefix,NA,0,4000,24,NA,ab_join,8184,4000,6519,6544,3.6675759679807283,2.3198097214452478,2.17207162601716,4159,4111,True,True,7206,False,False,3.6675759679807283,True,1.1548456463250099,1.8108037647205843e-06,3.1117392454334545e-06,3977,0,0.0,0.3221,results/gate1/MatrixProfile/scores/007_train_prefix_ab_join_seed0.npy
8,DISTORTEDCIMIS44AirTemperature4,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature4,MatrixProfile,full,NA,0,8184,24,NA,self_join,8184,4000,5548,5597,2.9022582911127763,2.1563965014959092,2.0391445843488407,4135,4087,True,True,7206,False,False,2.9022582911127763,True,3.3258611551724284,2.2505478797946843,3.3258611551724284,3977,0,0.0,0.3776,results/gate1/MatrixProfile/scores/008_full_self_join_seed0.npy
8,DISTORTEDCIMIS44AirTemperature4,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature4,MatrixProfile,train_prefix,NA,0,4000,24,NA,ab_join,8184,4000,5548,5597,2.9022582911127763,2.24670532944525,2.2248778735929835,4135,4087,True,True,7206,False,False,2.9022582911127763,True,1.0864549300106112,0.0,0.0,3977,0,0.0,0.4884,results/gate1/MatrixProfile/scores/008_train_prefix_ab_join_seed0.npy
9,DISTORTEDCIMIS44AirTemperature5,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature5,MatrixProfile,full,NA,0,8184,24,NA,self_join,8184,4000,4851,4900,5.078250859398085,2.312633144118677,2.3067188037527693,4135,4087,True,True,4862,True,True,5.078250859398085,True,3.984387796844196,2.3042348278079303,3.984387796844196,3977,0,0.0,0.3048,results/gate1/MatrixProfile/scores/009_full_self_join_seed0.npy
9,DISTORTEDCIMIS44AirTemperature5,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature5,MatrixProfile,train_prefix,NA,0,4000,24,NA,ab_join,8184,4000,4851,4900,5.354684375325687,2.4330577233419852,2.426726926464567,4135,4087,True,True,4862,True,True,5.354684375325687,True,0.9730631620851586,9.05941535166187e-07,1.5190416499822924e-06,3977,0,0.0,0.5823,results/gate1/MatrixProfile/scores/009_train_prefix_ab_join_seed0.npy
10,DISTORTEDCIMIS44AirTemperature6,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature6,MatrixProfile,full,NA,0,8184,24,NA,self_join,8184,4000,6005,6054,4.481592876074477,2.2368572590030196,2.0671368408902304,4135,4087,True,True,6043,True,True,4.481592876074477,True,3.288180119785441,2.0103515561064818,3.288180119785441,3977,0,0.0,0.4754,results/gate1/MatrixProfile/scores/010_full_self_join_seed0.npy
10,DISTORTEDCIMIS44AirTemperature6,DISTORTED,Air Temperature,False,cg005,CIMIS44AirTemperature6,MatrixProfile,train_prefix,NA,0,4000,24,NA,ab_join,8184,4000,6005,6054,4.589261398872038,2.536670043156017,2.2794611295973684,4135,4087,True,True,6044,True,True,4.589261398872038,True,1.0015549736608036,9.685702805775826e-07,1.351987865235061e-06,3977,0,0.0,0.3745,results/gate1/MatrixProfile/scores/010_train_prefix_ab_join_seed0.npy
11,DISTORTEDECG1,DISTORTED,ECG,True,cg011,ECG1,MatrixProfile,full,NA,0,30000,91,NA,self_join,30000,10000,11799,12100,8.207009806511966,2.1583778123229282,2.141718762511966,19699,19517,True,True,25902,False,False,8.207009806511966,True,8.523166502394753,2.4367415802913577,8.523166502394753,9910,0,0.0,1.7861,results/gate1/MatrixProfile/scores/011_full_self_join_seed0.npy
11,DISTORTEDECG1,DISTORTED,ECG,True,cg011,ECG1,MatrixProfile,train_prefix,NA,0,10000,91,NA,ab_join,30000,10000,11799,12100,8.480293860317248,3.048998655110797,3.057138963079605,19699,19517,True,True,25900,False,False,8.480293860317248,True,1.319231956682333,4.4951150205726494e-07,6.514040528057335e-07,9910,0,0.0001,2.0231,results/gate1/MatrixProfile/scores/011_train_prefix_ab_join_seed0.npy
12,DISTORTEDECG2,DISTORTED,ECG,True,cg011,ECG2,MatrixProfile,full,NA,0,30000,91,NA,self_join,30000,15000,15999,16100,3.5498416691718573,2.3564640582476093,2.3487033747957793,14899,14717,True,True,25904,False,False,3.872279923057879,True,8.2936603921954,2.0552657170307898,8.2936603921954,14910,0,0.0001,4.3647,results/gate1/MatrixProfile/scores/012_full_self_join_seed0.npy
12,DISTORTEDECG2,DISTORTED,ECG,True,cg011,ECG2,MatrixProfile,train_prefix,NA,0,15000,91,NA,ab_join,30000,15000,15999,16100,3.6666802854372498,2.632506787684502,2.592576601399398,14899,14717,True,True,25904,False,False,3.9524386128176037,True,1.1228725713517405,2.3487565883373604e-06,1.9369721330121563e-05,14910,0,0.0,3.0741,results/gate1/MatrixProfile/scores/012_train_prefix_ab_join_seed0.npy
