dataset,arch,seed,n_test,acc_measured,acc_in_training_conf,acc_delta,zero_class,counts_per_class,valid_samples_per_class,n_classes,model_dir
Wafer,Inception,8,6163,0.998864,0.9988641895180919,0.0,1,"{""0"": 0, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/Inception/seed_8
Wafer,Inception,9,6163,0.998702,0.9987019308778192,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/Inception/seed_9
Wafer,Inception,20,6163,0.998864,0.9988641895180919,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/Inception/seed_20
Wafer,Inception,21,6163,0.998702,0.9987019308778192,0.0,1,"{""0"": 0, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/Inception/seed_21
Wafer,Inception,29,6163,0.998864,0.9988641895180919,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/Inception/seed_29
Wafer,LSTM,1,6163,0.993672,0.9936719130293689,0.0,1,"{""0"": 0, ""1"": 2}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/LSTM/seed_1
Wafer,LSTM,9,6163,0.995294,0.9952944994320948,0.0,1,"{""0"": 0, ""1"": 4}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/LSTM/seed_9
Wafer,LSTM,18,6163,0.994808,0.994807723511277,0.0,1,"{""0"": 2, ""1"": 4}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/LSTM/seed_18
Wafer,LSTM,21,6163,0.993672,0.9936719130293689,0.0,1,"{""0"": 1, ""1"": 3}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/LSTM/seed_21
Wafer,LSTM,23,6163,0.994321,0.9943209475904592,0.0,1,"{""0"": 1, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/LSTM/seed_23
Wafer,MLP,0,6163,0.995132,0.9951322407918222,0.0,1,"{""0"": 1, ""1"": 3}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/MLP/seed_0
Wafer,MLP,5,6163,0.995457,0.9954567580723673,0.0,0,"{""0"": 2, ""1"": 1}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/MLP/seed_5
Wafer,MLP,16,6163,0.995132,0.9951322407918222,0.0,0,"{""0"": 2, ""1"": 1}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/MLP/seed_16
Wafer,MLP,27,6163,0.995132,0.9951322407918222,0.0,0,"{""0"": 2, ""1"": 1}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/MLP/seed_27
Wafer,MLP,28,6163,0.99497,0.9949699821515495,0.0,0,"{""0"": 2, ""1"": 1}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/MLP/seed_28
Wafer,ResNet,2,6163,0.995781,0.9957812753529125,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ResNet/seed_2
Wafer,ResNet,10,6163,0.995294,0.9952944994320948,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ResNet/seed_10
Wafer,ResNet,22,6163,0.995294,0.9952944994320948,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ResNet/seed_22
Wafer,ResNet,23,6163,0.995619,0.99561901671264,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ResNet/seed_23
Wafer,ResNet,28,6163,0.99643,0.9964303099140029,0.0,0,"{""0"": 5, ""1"": 0}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ResNet/seed_28
Wafer,ViT,5,6163,0.993996,0.993996430309914,0.0,0,"{""0"": 5, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ViT/seed_5
Wafer,ViT,9,6163,0.993996,0.993996430309914,0.0,0,"{""0"": 5, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ViT/seed_9
Wafer,ViT,14,6163,0.993672,0.9936719130293689,0.0,1,"{""0"": 4, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ViT/seed_14
Wafer,ViT,19,6163,0.994808,0.994807723511277,0.0,1,"{""0"": 4, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ViT/seed_19
Wafer,ViT,26,6163,0.994808,0.994807723511277,0.0,0,"{""0"": 5, ""1"": 5}","{""0"": 5, ""1"": 5}",2,third_party/simic_cmi/models/Wafer/ViT/seed_26
