file,source,domain,distorted,name,tr,anom_start,anom_end,length,n_channels,anomaly_ratio,n_anomaly_segments,last_anom_frac,min_seg_len
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,UCR,,True,1sddb40,35000,52000,52620,79795,1,0.007782442508929131,1,0.6594398145247196,621
002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,UCR,,True,2sddb40,35000,56600,56900,80001,1,0.0037624529693378833,1,0.7112411094861314,301
003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,UCR,,True,3sddb40,35000,46600,46900,80000,1,0.0037625,1,0.58625,301
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,UCR,,True,BIDMC1,2500,5400,5600,11000,1,0.018272727272727274,1,0.509090909090909,201
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,UCR,,True,CIMIS44AirTemperature1,4000,5391,5392,8184,1,0.00024437927663734115,1,0.6588465298142717,2
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,UCR,,True,CIMIS44AirTemperature2,4000,5703,5727,8184,1,0.0030547409579667643,1,0.6997800586510264,25
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,UCR,,True,CIMIS44AirTemperature3,4000,6520,6544,8184,1,0.0030547409579667643,1,0.7996089931573802,25
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt,UCR,,True,CIMIS44AirTemperature4,4000,5549,5597,8184,1,0.005987292277614858,1,0.6838954056695992,49
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,UCR,,True,CIMIS44AirTemperature5,4000,4852,4900,8184,1,0.005987292277614858,1,0.5987292277614858,49
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt,UCR,,True,CIMIS44AirTemperature6,4000,6006,6054,8184,1,0.005987292277614858,1,0.7397360703812317,49
011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100.txt,UCR,,True,ECG1,10000,11800,12100,30000,1,0.010033333333333333,1,0.4033333333333333,301
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.txt,UCR,,True,ECG2,15000,16000,16100,30000,1,0.0033666666666666667,1,0.5366666666666666,101
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,UCR,,True,ECG3,15000,16000,16100,30000,1,0.0033666666666666667,1,0.5366666666666666,101
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,UCR,,True,ECG3,8000,17000,17100,30000,1,0.0033666666666666667,1,0.57,101
015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100.txt,UCR,,True,ECG4,5000,16800,17100,200000,1,0.001505,1,0.0855,301
016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100.txt,UCR,,True,ECG4,5000,16900,17100,30000,1,0.0067,1,0.57,201
017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100.txt,UCR,,True,ECG4,5000,17000,17100,30000,1,0.0033666666666666667,1,0.57,101
018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100.txt,UCR,,True,ECG4,8000,17000,17100,30000,1,0.0033666666666666667,1,0.57,101
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,UCR,,True,GP711MarkerLFM5z1,5000,6168,6212,12000,1,0.00375,1,0.5176666666666667,45
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,UCR,,True,GP711MarkerLFM5z2,5000,7175,7388,12000,1,0.017833333333333333,1,0.6156666666666667,214
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,UCR,,True,GP711MarkerLFM5z3,5000,5948,5993,12000,1,0.003833333333333333,1,0.4994166666666667,46
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.txt,UCR,,True,GP711MarkerLFM5z4,4000,6527,6645,12000,1,0.009916666666666667,1,0.55375,119
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt,UCR,,True,GP711MarkerLFM5z5,5000,8612,8716,12000,1,0.00875,1,0.7263333333333334,105
024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,UCR,,True,InternalBleeding10,3200,4526,4556,7501,1,0.0041327822956939075,1,0.6073856819090788,31
025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,UCR,,True,InternalBleeding14,2800,5607,5634,7501,1,0.0037328356219170776,1,0.7510998533528863,28
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,UCR,,True,InternalBleeding15,1700,5684,5854,7601,1,0.0224970398631759,1,0.770161820813051,171
027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,UCR,,True,InternalBleeding16,1200,4187,4199,7501,1,0.0017331022530329288,1,0.5597920277296361,13
028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309.txt,UCR,,True,InternalBleeding17,1600,3198,3309,7500,1,0.014933333333333333,1,0.4412,112
029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.txt,UCR,,True,InternalBleeding18,2300,4485,4587,7500,1,0.013733333333333334,1,0.6116,103
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt,UCR,,True,InternalBleeding19,3000,4187,4197,7500,1,0.0014666666666666667,1,0.5596,11
031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919.txt,UCR,,True,InternalBleeding20,2700,5759,5919,7500,1,0.021466666666666665,1,0.7892,161
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.txt,UCR,,True,InternalBleeding4,1000,4675,5033,7321,1,0.04903701680098347,1,0.687474388744707,359
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.txt,UCR,,True,InternalBleeding5,4000,6200,6370,7415,1,0.02306136210384356,1,0.8590694538098449,171
034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt,UCR,,True,InternalBleeding6,1500,3474,3629,7654,1,0.02038149986934936,1,0.4741311732427489,156
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,UCR,,True,InternalBleeding8,2500,5865,5974,7501,1,0.014664711371817091,1,0.7964271430475937,110
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,UCR,,True,InternalBleeding9,4200,6599,6681,7501,1,0.011065191307825623,1,0.8906812425009999,83
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt,UCR,,True,Lab2Cmac011215EPG1,5000,17210,17260,30001,1,0.0016999433352221593,1,0.5753141561947935,51
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.txt,UCR,,True,Lab2Cmac011215EPG2,5000,27862,27932,29950,1,0.0023706176961602672,1,0.9326210350584307,71
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420.txt,UCR,,True,Lab2Cmac011215EPG3,5000,16390,16420,29950,1,0.001035058430717863,1,0.5482470784641068,31
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.txt,UCR,,True,Lab2Cmac011215EPG4,6000,17390,17520,30066,1,0.004357081088272467,1,0.5827180203552185,131
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt,UCR,,True,Lab2Cmac011215EPG5,7000,17390,17520,29826,1,0.004392141084959431,1,0.5874069603701468,131
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420.txt,UCR,,True,Lab2Cmac011215EPG6,7000,12190,12420,29859,1,0.007736360896212198,1,0.4159549884456948,231
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,UCR,,True,MesoplodonDensirostris,10000,19280,19440,24667,1,0.006526938825151011,1,0.7880974581424576,161
044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.txt,UCR,,True,PowerDemand1,9000,18485,18821,29931,1,0.01125922956132438,1,0.6288129364204337,337
045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717.txt,UCR,,True,PowerDemand2,14000,23357,23717,29931,1,0.012061073803080418,1,0.7923891617386656,361
046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477.txt,UCR,,True,PowerDemand3,16000,23405,23477,29931,1,0.0024389429020079518,1,0.7843707193211052,73
047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077.txt,UCR,,True,PowerDemand4,18000,24005,24077,29931,1,0.0024389429020079518,1,0.8044168253650061,73
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085.txt,UCR,,True,TkeepFifthMARS,3500,5988,6085,11334,1,0.008646550202929239,1,0.5368801835186165,98
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt,UCR,,True,TkeepFirstMARS,3500,5365,5380,11406,1,0.0014027704716815712,1,0.4716815711029283,16
050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085.txt,UCR,,True,TkeepForthMARS,3500,5988,6085,11308,1,0.008666430845419171,1,0.5381146091262823,98
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.txt,UCR,,True,TkeepSecondMARS,3500,9330,9340,11388,1,0.000965929048120829,1,0.8201615735862311,11
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,UCR,,True,TkeepThirdMARS,3500,4711,4809,11308,1,0.008754863813229572,1,0.42527414220021226,99
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.txt,UCR,,True,WalkingAceleration1,1500,2764,2995,6684,1,0.034709754637941355,1,0.44808497905445843,232
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.txt,UCR,,True,WalkingAceleration5,2700,5920,5979,6684,1,0.008976660682226212,1,0.894524236983842,60
055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100.txt,UCR,,True,apneaecg2,10000,20950,21100,38501,1,0.0039219760525700635,1,0.5480377133061479,151
056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.txt,UCR,,True,apneaecg3,5000,11111,11211,38379,1,0.00263164751556841,1,0.2921128742280935,101
057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100.txt,UCR,,True,apneaecg4,6000,16000,16100,38269,1,0.002639211894745094,1,0.4207060545088714,101
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,UCR,,True,apneaecg,10000,12240,12308,38501,1,0.0017921612425651282,1,0.3196800083114724,69
059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,UCR,,True,gait1,20000,38500,38800,65000,1,0.004630769230769231,1,0.5969230769230769,301
060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,UCR,,True,gait2,22000,46500,46800,65000,1,0.004630769230769231,1,0.72,301
061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.txt,UCR,,True,gait3,24500,59900,60500,65000,1,0.009246153846153847,1,0.9307692307692308,601
062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,UCR,,True,gaitHunt1,18500,33070,33180,64000,1,0.001734375,1,0.5184375,111
063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,UCR,,True,gaitHunt2,18500,31200,31850,64000,1,0.010171875,1,0.49765625,651
064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200.txt,UCR,,True,gaitHunt3,23400,38400,39200,64000,1,0.012515625,1,0.6125,801
065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.txt,UCR,,True,insectEPG1,3000,7000,7030,10001,1,0.0030996900309969004,1,0.702929707029297,31
066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt,UCR,,True,insectEPG2,3700,8000,8025,9998,1,0.002600520104020804,1,0.8026605321064213,26
067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050.txt,UCR,,True,insectEPG3,5200,7000,7050,9998,1,0.005101020204040808,1,0.7051410282056412,51
068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558.txt,UCR,,True,insectEPG4,1300,6508,6558,9998,1,0.005101020204040808,1,0.6559311862372474,51
069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501.txt,UCR,,True,insectEPG5,3200,8500,8501,10028,1,0.00019944156362185878,1,0.8477263661747108,2
070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800.txt,UCR,,True,ltstdbs30791AI,17555,52600,52800,56123,1,0.0035814193824278816,1,0.9407907631452346,201
071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800.txt,UCR,,True,ltstdbs30791AS,23000,52600,52800,55000,1,0.0036545454545454546,1,0.96,201
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,UCR,,True,ltstdbs30791ES,20000,52600,52800,55000,1,0.0036545454545454546,1,0.96,201
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,UCR,,True,park3m,60000,72150,72495,90000,1,0.0038444444444444446,1,0.8055,346
074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800.txt,UCR,,True,qtdbSel1005V,4000,12400,12800,36001,1,0.011138579483903226,1,0.35554567928668646,401
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800.txt,UCR,,True,qtdbSel100MLII,4000,13400,13800,30000,1,0.013366666666666667,1,0.46,401
076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.txt,UCR,,True,resperation10,48000,130700,131880,195000,1,0.006056410256410257,1,0.6763076923076923,1181
077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.txt,UCR,,True,resperation11,58000,110800,110801,195000,1,1.0256410256410256e-05,1,0.5682102564102565,2
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,UCR,,True,resperation1,100000,110260,110412,200000,1,0.000765,1,0.55206,153
079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250.txt,UCR,,True,resperation2,30000,168250,168250,200051,1,4.998725325042114e-06,1,0.8410355359383357,1
080_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168251.txt,UCR,,True,resperation2,30000,168250,168251,190050,1,1.0523546435148646e-05,1,0.8852986056300973,2
081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251.txt,UCR,,True,resperation3,45000,158250,158251,190100,1,1.0520778537611784e-05,1,0.8324618621778012,2
082_UCR_Anomaly_DISTORTEDresperation4_70000_128430_128431.txt,UCR,,True,resperation4,70000,128430,128431,195250,1,1.0243277848911652e-05,1,0.6577772087067861,2
083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.txt,UCR,,True,resperation9,38000,143411,143511,195000,1,0.0005179487179487179,1,0.7359538461538462,101
084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874.txt,UCR,,True,s20101mML2,12000,35774,35874,40000,1,0.002525,1,0.89685,101
085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.txt,UCR,,True,s20101m,10000,35774,35874,40000,1,0.002525,1,0.89685,101
086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,UCR,,True,sddb49,20000,67950,68200,80000,1,0.0031375,1,0.8525,251
087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.txt,UCR,,True,sel840mECG1,17000,51370,51740,60000,1,0.006183333333333333,1,0.8623333333333333,371
088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.txt,UCR,,True,sel840mECG2,20000,49370,49740,57001,1,0.006508657742846617,1,0.872616269890002,371
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,UCR,,True,tiltAPB1,100000,114283,114350,130001,1,0.0005230728994392351,1,0.8796086183952431,68
090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985.txt,UCR,,True,tiltAPB2,50000,124159,124985,128767,1,0.006422452957667725,1,0.9706291208151157,827
091_UCR_Anomaly_DISTORTEDtiltAPB3_40000_114000_114370.txt,UCR,,True,tiltAPB3,40000,114000,114370,129489,1,0.002865108233131772,1,0.8832410475021044,371
092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.txt,UCR,,True,tiltAPB4,20000,67995,67996,128001,1,1.5624877930641168e-05,1,0.5312145998859384,2
093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,UCR,,False,NOISE1sddb40,35000,52000,52620,79795,1,0.007782442508929131,1,0.6594398145247196,621
094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.txt,UCR,,False,NOISEBIDMC1,2500,5400,5600,11000,1,0.018272727272727274,1,0.509090909090909,201
095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597.txt,UCR,,False,NOISECIMIS44AirTemperature4,4000,5549,5597,8184,1,0.005987292277614858,1,0.6838954056695992,49
096_UCR_Anomaly_NOISEECG4_5000_16900_17100.txt,UCR,,False,NOISEECG4,5000,16900,17100,30000,1,0.0067,1,0.57,201
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,UCR,,False,NOISEGP711MarkerLFM5z3,5000,5948,5993,12000,1,0.003833333333333333,1,0.4994166666666667,46
098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199.txt,UCR,,False,NOISEInternalBleeding16,1200,4187,4199,7501,1,0.0017331022530329288,1,0.5597920277296361,13
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,UCR,,False,NOISEInternalBleeding6,1500,3474,3629,7654,1,0.02038149986934936,1,0.4741311732427489,156
100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260.txt,UCR,,False,NOISELab2Cmac011215EPG1,5000,17210,17260,30001,1,0.0016999433352221593,1,0.5753141561947935,51
101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520.txt,UCR,,False,NOISELab2Cmac011215EPG4,6000,17390,17520,30066,1,0.004357081088272467,1,0.5827180203552185,131
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,UCR,,False,NOISEMesoplodonDensirostris,10000,19280,19440,24667,1,0.006526938825151011,1,0.7880974581424576,161
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,UCR,,False,NOISETkeepThirdMARS,3500,4711,4809,11308,1,0.008754863813229572,1,0.42527414220021226,99
104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100.txt,UCR,,False,NOISEapneaecg4,6000,16000,16100,38269,1,0.002639211894745094,1,0.4207060545088714,101
105_UCR_Anomaly_NOISEgait3_24500_59900_60500.txt,UCR,,False,NOISEgait3,24500,59900,60500,65000,1,0.009246153846153847,1,0.9307692307692308,601
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,UCR,,False,NOISEgaitHunt2,18500,31200,31850,64000,1,0.010171875,1,0.49765625,651
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,UCR,,False,NOISEinsectEPG3,5200,7000,7050,9998,1,0.005101020204040808,1,0.7051410282056412,51
108_UCR_Anomaly_NOISEresperation2_30000_168250_168250.txt,UCR,,False,NOISEresperation2,30000,168250,168250,200051,1,4.998725325042114e-06,1,0.8410355359383357,1
109_UCR_Anomaly_1sddb40_35000_52000_52620.txt,UCR,,False,1sddb40,35000,52000,52620,79795,1,0.007782442508929131,1,0.6594398145247196,621
110_UCR_Anomaly_2sddb40_35000_56600_56900.txt,UCR,,False,2sddb40,35000,56600,56900,80001,1,0.0037624529693378833,1,0.7112411094861314,301
111_UCR_Anomaly_3sddb40_35000_46600_46900.txt,UCR,,False,3sddb40,35000,46600,46900,80000,1,0.0037625,1,0.58625,301
112_UCR_Anomaly_BIDMC1_2500_5400_5600.txt,UCR,,False,BIDMC1,2500,5400,5600,11000,1,0.018272727272727274,1,0.509090909090909,201
113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.txt,UCR,,False,CIMIS44AirTemperature1,4000,5391,5392,8184,1,0.00024437927663734115,1,0.6588465298142717,2
114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.txt,UCR,,False,CIMIS44AirTemperature2,4000,5703,5727,8184,1,0.0030547409579667643,1,0.6997800586510264,25
115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.txt,UCR,,False,CIMIS44AirTemperature3,4000,6520,6544,8184,1,0.0030547409579667643,1,0.7996089931573802,25
116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597.txt,UCR,,False,CIMIS44AirTemperature4,4000,5549,5597,8184,1,0.005987292277614858,1,0.6838954056695992,49
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,UCR,,False,CIMIS44AirTemperature5,4000,4852,4900,8184,1,0.005987292277614858,1,0.5987292277614858,49
118_UCR_Anomaly_CIMIS44AirTemperature6_4000_6006_6054.txt,UCR,,False,CIMIS44AirTemperature6,4000,6006,6054,8184,1,0.005987292277614858,1,0.7397360703812317,49
119_UCR_Anomaly_ECG1_10000_11800_12100.txt,UCR,,False,ECG1,10000,11800,12100,30000,1,0.010033333333333333,1,0.4033333333333333,301
120_UCR_Anomaly_ECG2_15000_16000_16100.txt,UCR,,False,ECG2,15000,16000,16100,30000,1,0.0033666666666666667,1,0.5366666666666666,101
121_UCR_Anomaly_ECG3_15000_16000_16100.txt,UCR,,False,ECG3,15000,16000,16100,30000,1,0.0033666666666666667,1,0.5366666666666666,101
122_UCR_Anomaly_ECG3_8000_17000_17100.txt,UCR,,False,ECG3,8000,17000,17100,30000,1,0.0033666666666666667,1,0.57,101
123_UCR_Anomaly_ECG4_5000_16800_17100.txt,UCR,,False,ECG4,5000,16800,17100,200000,1,0.001505,1,0.0855,301
124_UCR_Anomaly_ECG4_5000_16900_17100.txt,UCR,,False,ECG4,5000,16900,17100,30000,1,0.0067,1,0.57,201
125_UCR_Anomaly_ECG4_5000_17000_17100.txt,UCR,,False,ECG4,5000,17000,17100,30000,1,0.0033666666666666667,1,0.57,101
126_UCR_Anomaly_ECG4_8000_17000_17100.txt,UCR,,False,ECG4,8000,17000,17100,30000,1,0.0033666666666666667,1,0.57,101
