perturbation,region,AI,VR,n,width,ci_lo,ci_hi
B1_zero,normal,-0.5160740799245058,0.0,40,50,-0.6394264083593759,-0.2646085365627391
B1_zero,anomaly,-4.9157729154875325,0.0,27,40,-5.103016779439969,-4.562322167415058
B2_global_mean,normal,-0.4618136838840105,0.0,40,50,-0.6208520831539911,-0.23366893119960447
B2_global_mean,anomaly,-4.931262329365426,0.0,27,40,-5.102383536412423,-4.601700635639096
B3_local_mean,normal,-0.49615845938533043,0.05,40,50,-0.6997546219699199,-0.29383463550570016
B3_local_mean,anomaly,-4.82731836780724,0.0,27,40,-4.924358987214602,-4.602352485135723
B4_linear_interp,normal,-0.24719160625057401,0.05,40,50,-0.3623182054192403,-0.08019267202304435
B4_linear_interp,anomaly,-2.384826338419302,0.6666666666666666,27,40,-2.8732553282310827,-2.0573291411850767
B5_gaussian,normal,0.5958816421909267,0.1,40,50,0.43871704297144376,0.8094704162901122
B5_gaussian,anomaly,-4.132269512442193,0.037037037037037035,27,40,-4.399232373621039,-3.8139064620767753
B6_shuffle,normal,0.06397854693902424,0.05,40,50,0.02434256511981161,0.1654939898491333
B6_shuffle,anomaly,0.1051643769784217,1.0,27,40,-0.002323538630350313,0.32876400718367443
IDENTITY,normal,0.0,0.05,40,50,0.0,0.0
IDENTITY,anomaly,0.0,1.0,27,40,0.0,0.0
