num,filename,anom_len_incl,H1_idx0,H0_idx0,dev_H1,dev_H0,ratio_H1_over_H0,verdict
5,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,2,"[5390,5392)","[5391,5393)",3.9971120000000004,7.524035,0.5312458009565347,not decisive
69,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501.txt,2,"[8499,8501)","[8500,8502)",0.07000999975,0.04594654000000001,1.5237273524839952,not decisive
77,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.txt,2,"[110799,110801)","[110800,110802)",932.0236124999999,5.646477499999946,165.0628400626778,H1 (1-based)
79,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250.txt,1,"[168249,168250)","[168250,168251)",1.062900000000127,1.3866499999996904,0.7665236361016582,not decisive
80,080_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168251.txt,2,"[168249,168251)","[168250,168252)",94.96379999999999,47.914049999999975,1.9819614497209075,not decisive
81,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251.txt,2,"[158249,158251)","[158250,158252)",22.07887500000004,13.643924999999967,1.6182201969008252,not decisive
82,082_UCR_Anomaly_DISTORTEDresperation4_70000_128430_128431.txt,2,"[128429,128431)","[128430,128432)",11.90885000000003,7.9068249999999125,1.5061481694612138,not decisive
92,092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.txt,2,"[67994,67996)","[67995,67997)",2005.9545,689.9093500000008,2.9075624210629956,H1 (1-based)
108,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250.txt,1,"[168249,168250)","[168250,168251)",5.169200000000046,18.74260000000004,0.2757995155421359,H0 (0-based)
113,113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.txt,2,"[5390,5392)","[5391,5393)",4.1013565000000005,7.549999999999999,0.5432260264900663,not decisive
177,177_UCR_Anomaly_insectEPG5_3200_8500_8501.txt,2,"[8499,8501)","[8500,8502)",0.038145997500000015,0.005091885000000018,7.491527695539054,H1 (1-based)
185,185_UCR_Anomaly_resperation11_58000_110800_110801.txt,2,"[110799,110801)","[110800,110802)",921.25,1.0,921.25,H1 (1-based)
187,187_UCR_Anomaly_resperation2_30000_168250_168250.txt,1,"[168249,168250)","[168250,168251)",0.2221999999999298,0.11110000000007858,1.9999999999979534,not decisive
188,188_UCR_Anomaly_resperation2_30000_168250_168251.txt,2,"[168249,168251)","[168250,168252)",0.16665000000000418,0.11110000000007858,1.4999999999989768,not decisive
189,189_UCR_Anomaly_resperation3_45000_158250_158251.txt,2,"[158249,158251)","[158250,158252)",1.0,0.8888750000000982,1.1250175783995382,not decisive
190,190_UCR_Anomaly_resperation4_70000_128430_128431.txt,2,"[128429,128431)","[128430,128432)",4.857850000000099,5.048925000000054,0.9621553102888332,not decisive
200,200_UCR_Anomaly_tiltAPB4_20000_67995_67996.txt,2,"[67994,67996)","[67995,67997)",1998.0,702.0,2.8461538461538463,H1 (1-based)
233,233_UCR_Anomaly_mit14157longtermecg_18913_24500_24501.txt,2,"[24499,24501)","[24500,24502)",1.7861111349999998,0.8863888899999999,2.015042330911887,H1 (1-based)
234,234_UCR_Anomaly_mit14157longtermecg_18913_24600_24601.txt,2,"[24599,24601)","[24600,24602)",1.69250001675,1.68100001675,1.0068411659044678,not decisive
235,235_UCR_Anomaly_mit14157longtermecg_18913_75450_75451.txt,2,"[75449,75451)","[75450,75452)",3.6050000000000004,2.095,1.720763723150358,not decisive
