num,role,n,train_end,m,r,kind,what,n_A,n_B,seconds
66,pilot,9998,3700,26,13,Z,incremental,38,3675,0.005617167000309564
66,pilot,9998,3700,26,13,R,incremental,38,3675,0.003557959003956057
66,pilot,9998,3700,26,13,-,cr_search,26,3662,0.0006460410004365258
66,pilot,9998,3700,26,26,Z,incremental,51,3675,0.00492991699866252
66,pilot,9998,3700,26,26,R,incremental,51,3675,0.0041508340000291355
66,pilot,9998,3700,26,26,-,cr_search,26,3649,0.0006304169946815819
66,pilot,9998,3700,26,52,Z,incremental,77,3675,0.005037582996010315
66,pilot,9998,3700,26,52,R,incremental,77,3675,0.004171874999883585
66,pilot,9998,3700,26,52,-,cr_search,26,3623,0.0005842080063303001
66,pilot,9998,3700,26,104,Z,incremental,129,3675,0.0051548749979701824
66,pilot,9998,3700,26,104,R,incremental,129,3675,0.004983416998584289
66,pilot,9998,3700,26,104,-,cr_search,26,3571,0.0005991669968352653
241,top,900000,250000,125,62,Z,incremental,186,249876,0.05823745799716562
241,top,900000,250000,125,62,R,incremental,186,249876,0.10162662500079023
241,top,900000,250000,125,62,-,cr_search,125,249814,0.02500645799591439
241,top,900000,250000,125,125,Z,incremental,249,249876,0.06386691700026859
241,top,900000,250000,125,125,R,incremental,249,249876,0.13477262500236975
241,top,900000,250000,125,125,-,cr_search,125,249751,0.024949292004748713
241,top,900000,250000,125,250,Z,incremental,374,249876,0.07194291699852329
241,top,900000,250000,125,250,R,incremental,374,249876,0.18788279200089164
241,top,900000,250000,125,250,-,cr_search,125,249626,0.024657249996380415
241,top,900000,250000,125,500,Z,incremental,624,249876,0.08882145800453145
241,top,900000,250000,125,500,R,incremental,624,249876,0.28013233299861895
241,top,900000,250000,125,500,-,cr_search,125,249376,0.024437957996269688
240,top,900000,240030,125,62,Z,incremental,186,239906,0.05674762499984354
240,top,900000,240030,125,62,R,incremental,186,239906,0.08414875000016764
240,top,900000,240030,125,62,-,cr_search,125,239844,0.023878332998719998
240,top,900000,240030,125,125,Z,incremental,249,239906,0.0600802909975755
240,top,900000,240030,125,125,R,incremental,249,239906,0.11204137500317302
240,top,900000,240030,125,125,-,cr_search,125,239781,0.023558333006803878
240,top,900000,240030,125,250,Z,incremental,374,239906,0.06748700000025565
240,top,900000,240030,125,250,R,incremental,374,239906,0.14818708300299477
240,top,900000,240030,125,250,-,cr_search,125,239656,0.02366216600057669
240,top,900000,240030,125,500,Z,incremental,624,239906,0.08268891699844971
240,top,900000,240030,125,500,R,incremental,624,239906,0.24030479199427646
240,top,900000,240030,125,500,-,cr_search,125,239406,0.023179666997748427
239,top,897667,190037,125,62,Z,incremental,186,189913,0.045729916004347615
239,top,897667,190037,125,62,R,incremental,186,189913,0.07490795799822081
239,top,897667,190037,125,62,-,cr_search,125,189851,0.018946625001262873
239,top,897667,190037,125,125,Z,incremental,249,189913,0.04939179199573118
239,top,897667,190037,125,125,R,incremental,249,189913,0.09668420899834018
239,top,897667,190037,125,125,-,cr_search,125,189788,0.01881354200304486
239,top,897667,190037,125,250,Z,incremental,374,189913,0.05618470800254727
239,top,897667,190037,125,250,R,incremental,374,189913,0.13723033399583073
239,top,897667,190037,125,250,-,cr_search,125,189663,0.018696792001719587
239,top,897667,190037,125,500,Z,incremental,624,189913,0.06945987499784678
239,top,897667,190037,125,500,R,incremental,624,189913,0.21659970800101291
239,top,897667,190037,125,500,-,cr_search,125,189413,0.018898415997682605
244,top,300262,100013,166,83,Z,incremental,248,99848,0.03534958299860591
244,top,300262,100013,166,83,R,incremental,248,99848,0.06832195800234331
244,top,300262,100013,166,83,-,cr_search,166,99765,0.012964209003257565
244,top,300262,100013,166,166,Z,incremental,331,99848,0.03805866699985927
244,top,300262,100013,166,166,R,incremental,331,99848,0.08175945800030604
244,top,300262,100013,166,166,-,cr_search,166,99682,0.012874542000645306
244,top,300262,100013,166,332,Z,incremental,497,99848,0.04448054200474871
244,top,300262,100013,166,332,R,incremental,497,99848,0.1165668750036275
244,top,300262,100013,166,332,-,cr_search,166,99516,0.012855916997068562
244,top,300262,100013,166,664,Z,incremental,829,99848,0.05546899999899324
244,top,300262,100013,166,664,R,incremental,829,99848,0.18999683400033973
244,top,300262,100013,166,664,-,cr_search,166,99184,0.013325125000847038
213,top,300000,33211,124,62,Z,incremental,185,33088,0.012862083000072744
213,top,300000,33211,124,62,R,incremental,185,33088,0.02165745900128968
213,top,300000,33211,124,62,-,cr_search,124,33026,0.0037533330032601953
213,top,300000,33211,124,124,Z,incremental,247,33088,0.01341241699992679
213,top,300000,33211,124,124,R,incremental,247,33088,0.031229915999574587
213,top,300000,33211,124,124,-,cr_search,124,32964,0.0038243749950197525
213,top,300000,33211,124,248,Z,incremental,371,33088,0.01564245900226524
213,top,300000,33211,124,248,R,incremental,371,33088,0.035030207996896934
213,top,300000,33211,124,248,-,cr_search,124,32840,0.003785458000493236
213,top,300000,33211,124,496,Z,incremental,619,33088,0.01961187500273809
213,top,300000,33211,124,496,R,incremental,619,33088,0.054359791000024416
213,top,300000,33211,124,496,-,cr_search,124,32592,0.0036944170060451142
139,quantile,7500,2700,183,91,Z,incremental,273,2518,0.006509915998321958
139,quantile,7500,2700,183,91,R,incremental,273,2518,0.006365790999552701
139,quantile,7500,2700,183,91,-,cr_search,183,2427,0.0009102080002776347
139,quantile,7500,2700,183,183,Z,incremental,365,2518,0.006824750002124347
139,quantile,7500,2700,183,183,R,incremental,365,2518,0.007299083001271356
139,quantile,7500,2700,183,183,-,cr_search,183,2335,0.0008174579998012632
139,quantile,7500,2700,183,366,Z,incremental,548,2518,0.00783949999458855
139,quantile,7500,2700,183,366,R,incremental,548,2518,0.009501374996034428
139,quantile,7500,2700,183,366,-,cr_search,183,2152,0.0009008749984786846
139,quantile,7500,2700,183,732,Z,incremental,914,2518,0.009846792003372684
139,quantile,7500,2700,183,732,R,incremental,914,2518,0.013773458005744033
139,quantile,7500,2700,183,732,-,cr_search,183,1786,0.0007417919987346977
36,quantile,7501,4200,175,87,Z,incremental,261,4026,0.006187874998431653
36,quantile,7501,4200,175,87,R,incremental,261,4026,0.007420417001412716
36,quantile,7501,4200,175,87,-,cr_search,175,3939,0.0011030829991796054
36,quantile,7501,4200,175,175,Z,incremental,349,4026,0.007364042001427151
36,quantile,7501,4200,175,175,R,incremental,349,4026,0.00858183299715165
36,quantile,7501,4200,175,175,-,cr_search,175,3851,0.001057417000993155
36,quantile,7501,4200,175,350,Z,incremental,524,4026,0.008143915998516604
36,quantile,7501,4200,175,350,R,incremental,524,4026,0.011449666999396868
36,quantile,7501,4200,175,350,-,cr_search,175,3676,0.001057875000697095
36,quantile,7501,4200,175,700,Z,incremental,874,4026,0.010286707998602651
36,quantile,7501,4200,175,700,R,incremental,874,4026,0.01625787500233855
36,quantile,7501,4200,175,700,-,cr_search,175,3326,0.0010848330057342537
152,quantile,29931,9000,168,84,Z,incremental,251,8833,0.00802345800184412
152,quantile,29931,9000,168,84,R,incremental,251,8833,0.01035908299672883
152,quantile,29931,9000,168,84,-,cr_search,168,8749,0.0016540409997105598
152,quantile,29931,9000,168,168,Z,incremental,335,8833,0.008311082994623575
152,quantile,29931,9000,168,168,R,incremental,335,8833,0.012615541003469843
152,quantile,29931,9000,168,168,-,cr_search,168,8665,0.0016773750030552037
152,quantile,29931,9000,168,336,Z,incremental,503,8833,0.009358833005535416
152,quantile,29931,9000,168,336,R,incremental,503,8833,0.017115666007157415
152,quantile,29931,9000,168,336,-,cr_search,168,8497,0.0016433749988209456
152,quantile,29931,9000,168,672,Z,incremental,839,8833,0.011527709000802133
152,quantile,29931,9000,168,672,R,incremental,839,8833,0.024241333005193155
152,quantile,29931,9000,168,672,-,cr_search,168,8161,0.0016562919990974478
196,quantile,57001,20000,173,86,Z,incremental,258,19828,0.012106750000384636
196,quantile,57001,20000,173,86,R,incremental,258,19828,0.019012917000509333
196,quantile,57001,20000,173,86,-,cr_search,173,19742,0.003207374997145962
196,quantile,57001,20000,173,173,Z,incremental,345,19828,0.012339666995103471
196,quantile,57001,20000,173,173,R,incremental,345,19828,0.024935084002208896
196,quantile,57001,20000,173,173,-,cr_search,173,19655,0.0032600839986116625
196,quantile,57001,20000,173,346,Z,incremental,518,19828,0.014419125000131316
196,quantile,57001,20000,173,346,R,incremental,518,19828,0.03301229100179626
196,quantile,57001,20000,173,346,-,cr_search,173,19482,0.0032103749981615692
196,quantile,57001,20000,173,692,Z,incremental,864,19828,0.018099250002705958
196,quantile,57001,20000,173,692,R,incremental,864,19828,0.051137125003151596
196,quantile,57001,20000,173,692,-,cr_search,173,19136,0.0031392090022563934
90,quantile,128767,50000,243,121,Z,incremental,363,49758,0.027097291997051798
90,quantile,128767,50000,243,121,R,incremental,363,49758,0.050948124997376
90,quantile,128767,50000,243,121,-,cr_search,243,49637,0.00972337499842979
90,quantile,128767,50000,243,243,Z,incremental,485,49758,0.030050166002183687
90,quantile,128767,50000,243,243,R,incremental,485,49758,0.0612675410011434
90,quantile,128767,50000,243,243,-,cr_search,243,49515,0.009726374999445397
90,quantile,128767,50000,243,486,Z,incremental,728,49758,0.03424808300042059
90,quantile,128767,50000,243,486,R,incremental,728,49758,0.08740679199399892
90,quantile,128767,50000,243,486,-,cr_search,243,49272,0.00938674999633804
90,quantile,128767,50000,243,972,Z,incremental,1214,49758,0.045331250003073364
90,quantile,128767,50000,243,972,R,incremental,1214,49758,0.14347079200524604
90,quantile,128767,50000,243,972,-,cr_search,243,48786,0.009398166999744717
