num,n,train_end,w,a,b,L,L_over_w,n_windows,max_abs_delta,t_patch_s,identity_bitexact,identity_ai_zero,scale_ok,unperturbed_vs_gate1_max_abs
11,30000,10000,91,25633,25724,91,1.0,181,2.345901251032956e-13,0.007711083002504893,True,True,True,3.15636405900932e-13
11,30000,10000,91,11124,11147,23,0.25274725274725274,113,1.233457780358549e-13,0.0065308329940307885,True,True,True,5.492273302820649e-13
11,30000,10000,91,22734,22757,23,0.25274725274725274,113,8.770761894538737e-14,0.005706500000087544,True,True,True,1.6109336087311021e-13
11,30000,10000,91,10726,10749,23,0.25274725274725274,113,7.360778653264788e-14,0.008308832999318838,True,True,True,2.000621890374532e-13
11,30000,10000,91,11835,11858,23,0.25274725274725274,113,4.707345624410664e-14,0.006458333009504713,True,True,True,2.6201263381153694e-14
11,30000,10000,91,24322,24368,46,0.5054945054945055,136,1.0036416142611415e-13,0.005850834000739269,True,True,True,2.433608869978343e-13
11,30000,10000,91,20939,20985,46,0.5054945054945055,136,1.0080825063596421e-13,0.006337375001749024,True,True,True,8.948397578478762e-14
11,30000,10000,91,24570,24616,46,0.5054945054945055,136,4.884981308350689e-14,0.007412333012325689,True,True,True,1.3566925360919413e-13
11,30000,10000,91,19905,19951,46,0.5054945054945055,136,6.52811138479592e-14,0.007892541005276144,True,True,True,8.970602038971265e-14
11,30000,10000,91,14765,14856,91,1.0,181,4.75175454539567e-14,0.006634958001086488,True,True,True,3.148592497836944e-13
11,30000,10000,91,17836,17927,91,1.0,181,6.861178292183467e-14,0.0069804999948246405,True,True,True,2.651212582804874e-13
11,30000,10000,91,17590,17613,23,0.25274725274725274,113,8.126832540256146e-14,0.007629415995324962,True,True,True,9.14823772291129e-14
11,30000,10000,91,15472,15563,91,1.0,181,6.838973831690964e-14,0.009717416993225925,True,True,True,1.2867484855405564e-13
11,30000,10000,91,28603,28626,23,0.25274725274725274,113,3.68594044175552e-14,0.005228750000242144,True,True,True,1.1235457009206584e-13
11,30000,10000,91,22447,22470,23,0.25274725274725274,113,4.263256414560601e-14,0.006235916996956803,True,True,True,1.800781745942004e-13
11,30000,10000,91,15947,16038,91,1.0,181,3.8413716652030416e-14,0.006404208004823886,True,True,True,1.4832579608992091e-13
11,30000,10000,91,17124,17147,23,0.25274725274725274,113,8.104628079763643e-14,0.006881875000544824,True,True,True,2.3592239273284576e-13
11,30000,10000,91,10392,10438,46,0.5054945054945055,136,1.325606291402437e-13,0.009755041988682933,True,True,True,1.7508217098338719e-13
11,30000,10000,91,18958,18981,23,0.25274725274725274,113,1.438849039914203e-13,0.008638291008537635,True,True,True,1.509903313490213e-13
11,30000,10000,91,11521,11544,23,0.25274725274725274,113,2.1271873151818e-13,0.007689250007388182,True,True,True,2.708944180085382e-13
16,30000,5000,166,23699,23782,83,0.5,248,2.3092638912203256e-14,0.006564166993484832,True,True,True,5.1958437552457326e-14
16,30000,5000,166,10157,10323,166,1.0,331,2.2470914018413168e-13,0.00751416600542143,True,True,True,2.97761815204467e-13
16,30000,5000,166,11270,11312,42,0.25301204819277107,207,9.103828801926284e-14,0.006747874998836778,True,True,True,1.5654144647214707e-13
16,30000,5000,166,19252,19294,42,0.25301204819277107,207,1.2434497875801753e-13,0.005712875004974194,True,True,True,2.462474668618597e-13
16,30000,5000,166,21589,21672,83,0.5,248,8.970602038971265e-14,0.0056744999892544,True,True,True,1.6608936448392342e-13
16,30000,5000,166,27331,27497,166,1.0,331,4.973799150320701e-14,0.009101708987145685,True,True,True,9.348077867343818e-14
16,30000,5000,166,22528,22611,83,0.5,248,1.2079226507921703e-13,0.0060916250076843426,True,True,True,8.815170815523743e-14
16,30000,5000,166,24305,24471,166,1.0,331,7.505107646466058e-14,0.007125457996153273,True,True,True,1.0791367799356522e-13
16,30000,5000,166,12691,12774,83,0.5,248,5.10702591327572e-14,0.006612791999941692,True,True,True,1.0302869668521453e-13
16,30000,5000,166,7375,7458,83,0.5,248,1.2523315717771766e-13,0.007749832991976291,True,True,True,1.7319479184152442e-13
16,30000,5000,166,17740,17906,166,1.0,331,1.1457501614131615e-13,0.00936283300688956,True,True,True,1.9184653865522705e-13
16,30000,5000,166,29267,29309,42,0.25301204819277107,207,2.007283228522283e-13,0.007106040997314267,True,True,True,1.8784973576657649e-13
16,30000,5000,166,5196,5279,83,0.5,248,1.376676550535194e-13,0.005989416007651016,True,True,True,1.9984014443252818e-13
16,30000,5000,166,13480,13522,42,0.25301204819277107,207,3.108624468950438e-14,0.006120958001702093,True,True,True,1.0125233984581428e-13
16,30000,5000,166,25759,25842,83,0.5,248,7.949196856316121e-14,0.007725582996499725,True,True,True,1.283417816466681e-13
16,30000,5000,166,9078,9120,42,0.25301204819277107,207,1.532107773982716e-13,0.008604792004916817,True,True,True,2.0405899192610377e-13
16,30000,5000,166,25231,25397,166,1.0,331,7.327471962526033e-14,0.0063807499973336235,True,True,True,6.59472476627343e-14
16,30000,5000,166,18534,18700,166,1.0,331,2.34035013590983e-13,0.006988332999753766,True,True,True,3.390621117205228e-13
16,30000,5000,166,21191,21233,42,0.25301204819277107,207,2.142730437526552e-13,0.006220709008630365,True,True,True,2.948752353404416e-13
16,30000,5000,166,27984,28150,166,1.0,331,6.217248937900877e-14,0.007442208006978035,True,True,True,1.3455903058456897e-13
17,30000,5000,166,20499,20541,42,0.25301204819277107,207,1.8429702208777599e-13,0.008032708006794564,True,True,True,2.318145675417327e-13
17,30000,5000,166,14809,14892,83,0.5,248,2.5757174171303632e-14,0.0063641670130891725,True,True,True,8.704148513061227e-14
17,30000,5000,166,26676,26842,166,1.0,331,3.8191672047105385e-14,0.009148209006525576,True,True,True,9.192646643896296e-14
17,30000,5000,166,16009,16092,83,0.5,248,1.4077627952246985e-13,0.006969125010073185,True,True,True,1.7141843500212417e-13
17,30000,5000,166,12446,12529,83,0.5,248,4.39648317751562e-14,0.005865207989700139,True,True,True,1.2589929099249275e-13
17,30000,5000,166,27465,27631,166,1.0,331,1.0480505352461478e-13,0.006009500008076429,True,True,True,2.1604940059205546e-13
17,30000,5000,166,6494,6660,166,1.0,331,9.85878045867139e-14,0.008375208009965718,True,True,True,9.370282327836321e-14
17,30000,5000,166,29859,29901,42,0.25301204819277107,141,8.526512829121202e-14,0.006466042003012262,True,True,True,2.864375403532904e-13
17,30000,5000,166,23048,23131,83,0.5,248,1.5987211554602254e-14,0.007135416992241517,True,True,True,7.638334409421077e-14
17,30000,5000,166,8210,8293,83,0.5,248,1.3855583347321954e-13,0.0065190000022994354,True,True,True,2.3070434451710753e-13
17,30000,5000,166,22210,22293,83,0.5,248,2.191580250610059e-13,0.0066348340042168275,True,True,True,2.3225865675158275e-13
17,30000,5000,166,25400,25566,166,1.0,331,7.638334409421077e-14,0.007631041007698514,True,True,True,8.393286066166183e-14
17,30000,5000,166,21474,21516,42,0.25301204819277107,207,5.5067062021407764e-14,0.005657083005644381,True,True,True,1.4011014570769476e-13
17,30000,5000,166,10253,10336,83,0.5,248,5.240252676230739e-14,0.007906375001766719,True,True,True,1.41886502547095e-13
17,30000,5000,166,28110,28152,42,0.25301204819277107,207,9.459100169806334e-14,0.006636292004259303,True,True,True,9.792167077193881e-14
17,30000,5000,166,11431,11514,83,0.5,248,7.72715225139109e-14,0.006903792003868148,True,True,True,2.0405899192610377e-13
17,30000,5000,166,8891,9057,166,1.0,331,1.1013412404281553e-13,0.008815249995677732,True,True,True,2.462474668618597e-13
17,30000,5000,166,18746,18788,42,0.25301204819277107,207,1.1723955140041653e-13,0.006684749998385087,True,True,True,1.532107773982716e-13
17,30000,5000,166,19408,19491,83,0.5,248,7.638334409421077e-14,0.007514417011407204,True,True,True,1.532107773982716e-13
17,30000,5000,166,17628,17670,42,0.25301204819277107,207,9.525713551283843e-14,0.005083750002086163,True,True,True,1.800781745942004e-13
37,30001,5000,33,16146,16154,8,0.24242424242424243,40,7.926992395823618e-14,0.00316137500340119,True,True,True,6.59472476627343e-14
37,30001,5000,33,14865,14873,8,0.24242424242424243,40,5.950795411990839e-14,0.0029825410019839182,True,True,True,5.595524044110789e-14
37,30001,5000,33,24586,24603,17,0.5151515151515151,49,3.8191672047105385e-14,0.0027173749986104667,True,True,True,5.062616992290714e-14
37,30001,5000,33,9536,9544,8,0.24242424242424243,40,4.529709940470639e-14,0.0024354999914066866,True,True,True,6.639133687258436e-14
37,30001,5000,33,23429,23462,33,1.0,65,6.483702463810914e-14,0.0029367079987423494,True,True,True,5.88418203051333e-14
37,30001,5000,33,12739,12772,33,1.0,65,2.1316282072803006e-14,0.0030474589875666425,True,True,True,5.795364188543317e-14
37,30001,5000,33,13370,13378,8,0.24242424242424243,40,5.3290705182007514e-14,0.002899917002650909,True,True,True,4.9960036108132044e-14
37,30001,5000,33,27482,27515,33,1.0,65,7.682743330406083e-14,0.0032789590040920302,True,True,True,1.0946799022804043e-13
37,30001,5000,33,18226,18243,17,0.5151515151515151,49,5.306866057708248e-14,0.0030517499981215224,True,True,True,7.882583474838611e-14
37,30001,5000,33,16762,16770,8,0.24242424242424243,40,4.1300296516055823e-14,0.00254829200275708,True,True,True,6.417089082333405e-14
37,30001,5000,33,12380,12413,33,1.0,65,3.552713678800501e-14,0.002480499999364838,True,True,True,6.461498003318411e-14
37,30001,5000,33,7577,7610,33,1.0,65,5.595524044110789e-14,0.0028074579895474017,True,True,True,7.749356711883593e-14
37,30001,5000,33,20235,20252,17,0.5151515151515151,49,4.929390229335695e-14,0.0029719999874942005,True,True,True,6.328271240363392e-14
37,30001,5000,33,13585,13593,8,0.24242424242424243,40,5.639932965095795e-14,0.002221499991719611,True,True,True,6.394884621840902e-14
37,30001,5000,33,12215,12232,17,0.5151515151515151,49,3.1530333899354446e-14,0.0031401659944094718,True,True,True,6.816769371198461e-14
37,30001,5000,33,9850,9883,33,1.0,65,3.375077994860476e-14,0.003262083002482541,True,True,True,5.417888360170764e-14
37,30001,5000,33,19491,19508,17,0.5151515151515151,49,5.284661597215745e-14,0.00307370800874196,True,True,True,9.614531393253856e-14
37,30001,5000,33,26276,26284,8,0.24242424242424243,40,1.4876988529977098e-14,0.0024613329878775403,True,True,True,5.3512749786932545e-14
37,30001,5000,33,16351,16368,17,0.5151515151515151,49,3.730349362740526e-14,0.002789916004985571,True,True,True,5.218048215738236e-14
37,30001,5000,33,17559,17576,17,0.5151515151515151,49,5.306866057708248e-14,0.002626375004183501,True,True,True,7.66053886991358e-14
58,38501,10000,40,10611,10621,10,0.25,49,2.020605904817785e-14,0.005188625000300817,True,True,True,1.3034018309099338e-13
58,38501,10000,40,23123,23163,40,1.0,79,1.341149413747189e-13,0.004364458000054583,True,True,True,3.445688179226636e-12
58,38501,10000,40,38370,38390,20,0.5,59,4.511946372076636e-13,0.0033216659940080717,True,True,True,2.7182700534922333e-12
58,38501,10000,40,19559,19569,10,0.25,49,4.4275694222051243e-13,0.004382999992230907,True,True,True,5.511147094239277e-13
58,38501,10000,40,22623,22663,40,1.0,79,1.8829382497642655e-13,0.005892375003895722,True,True,True,4.3649528436162655e-12
58,38501,10000,40,22440,22460,20,0.5,59,1.3944401189291966e-13,0.00554050000209827,True,True,True,9.630074515598608e-13
58,38501,10000,40,20424,20464,40,1.0,79,7.860379014346108e-13,0.005931499996222556,True,True,True,2.156941292241754e-12
58,38501,10000,40,17002,17022,20,0.5,59,3.6770586575585185e-13,0.003798417004873045,True,True,True,1.809219440929155e-12
58,38501,10000,40,23435,23445,10,0.25,49,3.872457909892546e-12,0.004309333991841413,True,True,True,2.615685446016869e-12
58,38501,10000,40,36128,36148,20,0.5,59,3.567146578120628e-13,0.0055334589997073635,True,True,True,1.4859224961583095e-12
58,38501,10000,40,25384,25394,10,0.25,49,9.769962616701378e-14,0.004506792000029236,True,True,True,7.706058013923212e-13
58,38501,10000,40,11769,11789,20,0.5,59,7.513989430663059e-13,0.0049302499974146485,True,True,True,2.8343993818680246e-13
58,38501,10000,40,16149,16159,10,0.25,49,1.674216321134736e-12,0.004580583001370542,True,True,True,1.5134560271690134e-12
58,38501,10000,40,18047,18087,40,1.0,79,4.121147867408581e-13,0.005968750003376044,True,True,True,1.4974688156144111e-12
58,38501,10000,40,20215,20225,10,0.25,49,6.483702463810914e-14,0.003974624996772036,True,True,True,2.5699442574023124e-12
58,38501,10000,40,26605,26615,10,0.25,49,1.177724584522366e-12,0.004868250005529262,True,True,True,9.78328529299688e-13
58,38501,10000,40,37804,37814,10,0.25,49,2.509104035652854e-13,0.005390791004174389,True,True,True,3.148592497836944e-13
58,38501,10000,40,21856,21896,40,1.0,79,9.263700917472306e-13,0.005877707997569814,True,True,True,6.970424237806583e-12
58,38501,10000,40,19988,19998,10,0.25,49,2.753353101070388e-13,0.004926791007164866,True,True,True,1.1020073742429304e-12
58,38501,10000,40,34225,34245,20,0.5,59,4.050093593832571e-13,0.005329332998371683,True,True,True,2.475575300309174e-12
65,10001,3000,26,9762,9775,13,0.5,38,1.5659695762337833e-13,0.0016954999882727861,True,True,True,2.7985946893238633e-13
65,10001,3000,26,5359,5385,26,1.0,51,7.138734048339757e-14,0.0017644159961491823,True,True,True,2.521871600436043e-13
