series_id,content_group,domain,detected,K,g,omega_len,S,excluded,scale,mpnative_j_max,mpnative_nn,mpnative_sum_contrib,mpnative_score_sq,n_evals,b3_runs,b3_overlap,seconds
3,cg001,ECG,True,14,52,715,2076,,3.431660477646,46677,17414,30.701552646363268,30.701552646362735,15423,5664,0,828.3045917910058
4,cg004,ECG,True,19,20,361,2086,,0.509140555621,5541,1727,78.51879934260484,78.51879934260482,15528,6858,5341,61.66789204200904
5,cg005,Air Temperature,False,8,6,48,2064,,1.739992582284,5391,2835,5.328044831341282,5.328044831341285,15297,4043,3291,32.51595733300201
11,cg011,ECG,True,22,22,481,2092,,2.057107550902,11985,9102,71.91538395733424,71.91538395733427,15591,7346,5657,161.30097087500326
27,cg027,ABP,False,9,45,377,2066,,1.265021778676,4279,890,7.799892834981042,7.799892834980956,15318,4330,2527,43.877647665998666
32,cg032,ABP,True,17,44,713,2082,,1.162335742559,4781,705,221.02890271986732,221.02890271986726,15486,6394,4078,58.11791670799721
34,cg034,ABP,True,13,38,462,2074,,1.222977178049,3551,991,73.26565022695041,73.26565022695054,15402,5351,3163,53.35823741700733
36,cg036,ABP,False,11,43,431,2070,,0.723439854478,6763,541,2.401001510434552,2.401001510434769,15360,4838,2876,85.8823695829924
40,cg040,EPG,True,25,8,197,2098,,1.57682968766,17416,5884,32.33931004483806,32.339310044838065,15654,8001,7224,68.2835214999941
41,cg041,EPG,True,25,8,195,2098,,1.317848981258,17441,5597,29.489975329941352,29.489975329941373,15654,8104,7339,75.37918729199737
52,cg048,NASA,True,13,24,293,2074,,0.513857542984,4770,585,30.789307584864503,30.789307584864513,15402,5360,4030,67.0710933329974
57,cg057,ECG,False,18,10,179,2084,,3.955194034594,16051,1422,18.79753875526743,18.797538755267546,15507,6518,5582,67.18510499999684
68,cg065,EPG,True,17,6,101,2082,,0.535254385124,6549,382,6.160879132195874,6.160879132195892,15486,6272,5705,28.638346625011764
70,cg070,ECG,True,12,58,665,2072,,7.851078208579,52624,15859,275.07012356631077,275.07012356631066,15381,5038,0,460.1847576250002
