series_id,K,n_evals,b3_runs,b3_overlap,seconds
3,14,1040,376,0,55.75813312502578
4,19,1040,496,366,3.90116645800299
5,8,1040,256,177,2.0617093330074567
11,22,1040,574,446,10.275125791988103
27,9,1040,303,163,2.837706416990841
32,17,1040,474,292,3.73596379198716
34,13,1040,374,192,3.345896000013454
36,11,1040,363,207,5.528098415990826
40,25,1040,620,570,4.413864084024681
41,25,1040,562,514,4.8050708749797195
52,13,1040,362,248,4.4418330829939805
57,18,1040,504,437,4.185148499993375
68,17,1040,485,458,1.7752675420197193
70,12,1040,374,0,31.36081370798638
73,20,1040,447,216,68.55547595801181
78,13,1040,376,224,93.8870614579937
82,9,1040,302,162,55.111340332980035
84,12,1040,321,149,9.492582791019231
85,12,1040,345,196,8.607675208011642
86,12,1040,354,0,41.84204962500371
88,17,1040,459,258,31.58914879200165
89,10,1040,304,0,130.30941241700202
96,13,1040,373,203,7.939863749983488
102,23,1040,600,520,7.141579540999373
123,18,1040,514,316,12.042764874990098
128,12,1040,379,0,9.071407500014175
132,9,1040,253,76,4.10798091700417
134,12,1040,381,171,3.759444875002373
141,12,1040,353,174,5.392158375005238
143,11,1040,338,130,4.094244417006848
146,17,1040,488,441,3.4477698339906055
150,37,1040,870,808,5.916930792009225
153,17,1040,485,283,18.181249040993862
161,17,1040,466,303,2.863419792003697
164,18,1040,488,429,3.906086625007447
166,15,1040,421,353,5.305652959010331
168,18,1040,516,301,28.55029245800688
172,34,1040,877,580,39.4290350000083
179,12,1040,339,0,37.85410937501001
180,12,1040,347,0,32.69477920798818
182,17,1040,408,217,8.100628042011522
183,17,1040,442,242,8.457662415981758
195,17,1040,396,179,25.958426417026203
201,10,1040,301,238,4.347375333018135
202,12,1040,350,290,4.736870249995263
203,13,1040,345,298,4.816432082996471
204,17,1040,483,449,6.647434540995164
205,20,1040,595,556,5.234346791985445
206,15,1040,405,351,10.93201866702293
207,15,1040,376,312,2.7725587919994723
208,15,1040,410,366,3.465891667001415
209,13,1040,398,0,40.518314332992304
210,12,1040,422,329,32.606230709003285
211,12,1040,364,293,32.40941154200118
213,23,1040,658,408,52.78803712502122
214,29,1040,723,424,62.43237654099357
215,49,1040,1244,1128,53.635131666989764
216,41,1040,993,832,59.004280875000404
218,29,1040,709,436,72.30988504199195
219,16,1040,419,229,49.14184641602333
220,21,1040,584,0,93.06130479098647
221,62,1040,1603,1317,103.6496048750123
222,28,1040,686,381,77.87792729100329
223,28,1040,723,450,93.73086049998528
224,28,1040,729,459,98.82952883298276
225,20,1040,542,328,86.8178425420192
226,14,1040,416,0,133.15792012502789
227,10,1040,304,0,19.23730479198275
228,31,1040,722,705,3.839623624982778
229,21,1040,603,587,4.308406540978467
230,56,1040,1405,1388,7.573105750023387
232,55,1040,1408,1360,7.1918962500058115
233,9,1040,269,123,16.61650158301927
234,9,1040,274,116,17.004049042006955
235,9,1040,266,120,16.64576458299416
236,10,1040,297,107,17.220150709006703
237,40,1040,1019,718,34.74248608300695
238,15,1040,427,225,24.854997667018324
239,11,1040,348,178,160.71298045900767
240,12,1040,396,252,201.91411299997708
241,63,1040,1676,1080,664.8325219579856
242,12,1040,364,0,189.23299566700007
243,9,1040,268,0,148.51768370799255
244,15,1040,397,196,142.95570262501133
245,15,1040,426,251,134.7921024170064
246,13,1040,343,0,168.14351808300125
248,9,1040,290,217,1.6495342910056934
249,13,1040,391,358,2.2625617909943685
250,9,1040,268,189,2.0271924159897026
