series_id,condition,am,expl_op,K,tied_segments
240,main,Random,recon_test,12,0
240,main,FeatureAblation,recon_test,12,10
240,main,KernelSHAP,recon_test,12,0
240,main,MPNative,recon_test,12,10
240,self,FeatureAblation,B1_zero,12,4
240,self,KernelSHAP,B1_zero,12,0
240,self,FeatureAblation,B2_global_mean,12,0
240,self,KernelSHAP,B2_global_mean,12,0
240,self,FeatureAblation,B3_local_mean,12,5
240,self,KernelSHAP,B3_local_mean,12,0
240,self,FeatureAblation,B4_linear_interp,12,9
240,self,KernelSHAP,B4_linear_interp,12,0
240,self,FeatureAblation,B5_gaussian,12,9
240,self,KernelSHAP,B5_gaussian,12,0
240,self,FeatureAblation,B6_shuffle,12,11
240,self,KernelSHAP,B6_shuffle,12,0
241,main,Random,recon_test,63,0
241,main,FeatureAblation,recon_test,63,61
241,main,KernelSHAP,recon_test,63,0
241,main,MPNative,recon_test,63,60
241,self,FeatureAblation,B1_zero,63,35
241,self,KernelSHAP,B1_zero,63,0
241,self,FeatureAblation,B2_global_mean,63,26
241,self,KernelSHAP,B2_global_mean,63,0
241,self,FeatureAblation,B3_local_mean,63,49
241,self,KernelSHAP,B3_local_mean,63,0
241,self,FeatureAblation,B4_linear_interp,63,60
241,self,KernelSHAP,B4_linear_interp,63,0
241,self,FeatureAblation,B5_gaussian,63,48
241,self,KernelSHAP,B5_gaussian,63,0
241,self,FeatureAblation,B6_shuffle,63,61
241,self,KernelSHAP,B6_shuffle,63,0
239,main,Random,recon_test,11,0
239,main,FeatureAblation,recon_test,11,8
239,main,KernelSHAP,recon_test,11,0
239,main,MPNative,recon_test,11,8
239,self,FeatureAblation,B1_zero,11,0
239,self,KernelSHAP,B1_zero,11,0
239,self,FeatureAblation,B2_global_mean,11,0
239,self,KernelSHAP,B2_global_mean,11,0
239,self,FeatureAblation,B3_local_mean,11,5
239,self,KernelSHAP,B3_local_mean,11,0
239,self,FeatureAblation,B4_linear_interp,11,8
239,self,KernelSHAP,B4_linear_interp,11,0
239,self,FeatureAblation,B5_gaussian,11,5
239,self,KernelSHAP,B5_gaussian,11,0
239,self,FeatureAblation,B6_shuffle,11,10
239,self,KernelSHAP,B6_shuffle,11,0
244,main,Random,recon_test,15,0
244,main,FeatureAblation,recon_test,15,3
244,main,KernelSHAP,recon_test,15,0
244,main,MPNative,recon_test,15,10
244,self,FeatureAblation,B1_zero,15,0
244,self,KernelSHAP,B1_zero,15,0
244,self,FeatureAblation,B2_global_mean,15,0
244,self,KernelSHAP,B2_global_mean,15,0
244,self,FeatureAblation,B3_local_mean,15,4
244,self,KernelSHAP,B3_local_mean,15,0
244,self,FeatureAblation,B4_linear_interp,15,7
244,self,KernelSHAP,B4_linear_interp,15,0
244,self,FeatureAblation,B5_gaussian,15,0
244,self,KernelSHAP,B5_gaussian,15,0
244,self,FeatureAblation,B6_shuffle,15,6
244,self,KernelSHAP,B6_shuffle,15,0
213,main,Random,recon_test,23,0
213,main,FeatureAblation,recon_test,23,13
213,main,KernelSHAP,recon_test,23,0
213,main,MPNative,recon_test,23,18
213,self,FeatureAblation,B1_zero,23,0
213,self,KernelSHAP,B1_zero,23,0
213,self,FeatureAblation,B2_global_mean,23,4
213,self,KernelSHAP,B2_global_mean,23,0
213,self,FeatureAblation,B3_local_mean,23,8
213,self,KernelSHAP,B3_local_mean,23,0
213,self,FeatureAblation,B4_linear_interp,23,7
213,self,KernelSHAP,B4_linear_interp,23,0
213,self,FeatureAblation,B5_gaussian,23,0
213,self,KernelSHAP,B5_gaussian,23,0
213,self,FeatureAblation,B6_shuffle,23,7
213,self,KernelSHAP,B6_shuffle,23,0
215,main,Random,recon_test,49,0
215,main,FeatureAblation,recon_test,49,40
215,main,KernelSHAP,recon_test,49,0
215,main,MPNative,recon_test,49,44
215,self,FeatureAblation,B1_zero,49,31
215,self,KernelSHAP,B1_zero,49,0
215,self,FeatureAblation,B2_global_mean,49,34
215,self,KernelSHAP,B2_global_mean,49,0
215,self,FeatureAblation,B3_local_mean,49,37
215,self,KernelSHAP,B3_local_mean,49,0
215,self,FeatureAblation,B4_linear_interp,49,38
215,self,KernelSHAP,B4_linear_interp,49,0
215,self,FeatureAblation,B5_gaussian,49,0
215,self,KernelSHAP,B5_gaussian,49,0
215,self,FeatureAblation,B6_shuffle,49,33
215,self,KernelSHAP,B6_shuffle,49,0
218,main,Random,recon_test,29,0
218,main,FeatureAblation,recon_test,29,9
218,main,KernelSHAP,recon_test,29,0
218,main,MPNative,recon_test,29,24
218,self,FeatureAblation,B1_zero,29,6
218,self,KernelSHAP,B1_zero,29,0
218,self,FeatureAblation,B2_global_mean,29,11
218,self,KernelSHAP,B2_global_mean,29,0
218,self,FeatureAblation,B3_local_mean,29,8
218,self,KernelSHAP,B3_local_mean,29,0
218,self,FeatureAblation,B4_linear_interp,29,12
218,self,KernelSHAP,B4_linear_interp,29,0
218,self,FeatureAblation,B5_gaussian,29,0
218,self,KernelSHAP,B5_gaussian,29,0
